s0,71,75,59
c1,26,40,32,21
c3,14,40,19,21
c4,30,40,23,21
c9,17,40,21,21
c11,5,40,24,21
c15,29,40,11,21
c19,7,40,13,21
c25,28,40,7,21
c30,30,40,10,21
c33,11,40,3,21
c42,2,40,26,21
c47,28,40,26,21
c48,2,40,17,21
c50,15,40,40,21
c52,35,40,11,21
c53,32,40,36,21
c69,10,40,32,21
c77,10,40,37,21
c83,37,40,28,21
c85,28,40,6,21
s4,53,90,58
c89,8,40,24,21
c90,10,40,15,21
c92,26,40,12,21
c96,36,40,16,21
c2,35,40,40,26
c7,21,40,24,26
c10,14,40,27,26
s1,98,70,98
c13,29,40,39,26
c14,30,40,29,26
c17,12,40,2,26
c18,16,40,34,26
c22,31,40,33,26
c24,7,40,23,26
c26,13,40,40,26
c28,40,40,20,26
c29,21,40,14,26
s3,56,99,84
c31,17,40,15,26
c32,33,40,10,26
c37,26,40,26,26
c38,27,40,34,26
c43,8,40,35,26
c46,37,40,17,26
c55,1,40,15,26
c57,8,40,22,26
c60,14,40,17,26
c63,37,40,37,26
c64,36,40,11,26
c67,1,40,40,26
c70,16,40,4,26
c71,40,40,2,26
c75,33,40,14,26
c76,24,40,17,26
c78,14,40,32,26
c80,3,40,8,26
c93,40,40,12,26
s2,75,100,92
c97,6,40,12,26
c5,34,40,14,30
c8,20,40,31,30
c12,34,40,5,30
c20,18,40,33,30
c21,6,40,30,30
c23,20,40,1,30
c27,21,40,29,30
c34,33,40,7,30
c35,23,40,16,30
c40,39,40,7,30
c41,13,40,14,30
c45,28,40,1,30
c49,16,40,40,30
c56,33,40,11,30
c58,30,40,18,30
c59,17,40,18,30
c66,5,40,8,30
c68,36,40,33,30
c84,10,40,9,30
c87,17,40,5,30
c98,28,40,38,30
c0,25,40,34,39
c6,31,40,13,39
c16,17,40,17,39
c36,40,40,17,39
c39,1,40,12,39
c44,17,40,25,39
c51,32,40,6,39
c54,32,40,8,39
c61,26,40,26,39
c62,40,40,15,39
c65,38,40,20,39
c72,20,40,9,39
c73,13,40,22,39
c74,21,40,25,39
c79,16,40,5,39
c81,17,40,12,39
c82,33,40,13,39
c86,24,40,15,39
c88,35,40,7,39
c91,2,40,39,39
c94,22,40,21,39
c95,36,40,11,39
c99,32,40,34,39
