s0,75,61,85
c12,6,28,22,3
s7,81,72,75
c25,12,28,12,3
c33,16,28,11,3
c34,31,28,37,3
c41,33,28,30,3
c44,33,28,2,3
c48,7,28,16,3
c52,32,28,25,3
c69,10,28,10,3
c75,33,28,25,3
c76,2,28,34,3
c80,7,28,22,3
c82,32,28,1,3
c85,27,28,15,3
c90,36,28,31,3
c97,15,28,30,3
c100,1,28,15,3
c109,27,28,17,3
c121,1,28,27,3
c129,35,28,32,3
c131,18,28,36,3
c135,31,28,5,3
c165,27,28,40,3
c167,39,28,36,3
s4,65,61,92
c168,4,28,3,3
c175,32,28,29,3
c187,14,28,35,3
c207,29,28,10,3
c215,8,28,31,3
c222,16,28,6,3
c230,21,28,36,3
c233,25,28,11,3
c234,34,28,20,3
c235,37,28,26,3
c245,40,28,25,3
c247,32,28,13,3
c253,25,28,40,3
c258,23,28,21,3
c259,22,28,34,3
c261,30,28,28,3
c271,2,28,35,3
s6,77,78,60
c297,27,28,14,3
c298,28,28,26,3
c301,17,28,37,3
c304,40,28,22,3
c306,29,28,37,3
c309,39,28,15,3
c319,40,28,4,3
c327,18,28,4,3
c328,36,28,10,3
c329,15,28,8,3
c337,40,28,4,3
c349,28,28,31,3
c350,35,28,13,3
c354,1,28,34,3
c358,13,28,17,3
c359,3,28,4,3
c375,16,28,15,3
c376,22,28,28,3
c387,11,28,6,3
c389,24,28,4,3
c392,34,28,32,3
c422,14,28,11,3
c423,29,28,17,3
c438,31,28,12,3
c440,21,28,15,3
c451,25,28,10,3
c456,37,28,33,3
c469,39,28,26,3
c472,16,28,19,3
c475,30,28,18,3
c489,40,28,30,3
c504,36,28,16,3
c508,11,28,6,3
c509,12,28,37,3
c510,31,28,3,3
c520,15,28,2,3
c525,21,28,37,3
c527,9,28,22,3
c528,28,28,6,3
c544,9,28,16,3
c545,19,28,37,3
c558,20,28,40,3
c561,3,28,15,3
c572,38,28,16,3
c576,1,28,23,3
c578,5,28,1,3
c590,26,28,18,3
c607,8,28,39,3
c608,37,28,3,3
c624,33,28,17,3
c629,37,28,25,3
c635,33,28,39,3
c644,28,28,2,3
c648,33,28,38,3
c657,25,28,29,3
c667,16,28,12,3
c674,17,28,15,3
c698,35,28,30,3
c702,27,28,24,3
c704,16,28,34,3
c705,25,28,22,3
c706,38,28,2,3
c710,39,28,16,3
c733,20,28,21,3
c739,7,28,39,3
c758,2,28,33,3
c767,6,28,10,3
c772,17,28,14,3
c779,22,28,29,3
c784,26,28,20,3
c787,40,28,38,3
c801,17,28,24,3
c802,32,28,28,3
c809,29,28,28,3
c821,6,28,22,3
c826,15,28,19,3
c846,11,28,30,3
c847,1,28,27,3
c856,10,28,14,3
c868,40,28,18,3
c876,25,28,32,3
c877,36,28,15,3
c885,7,28,39,3
c888,23,28,6,3
c891,4,28,17,3
c892,25,28,32,3
c905,6,28,6,3
c916,6,28,38,3
c927,12,28,24,3
c932,6,28,28,3
c939,11,28,4,3
c950,17,28,32,3
c956,18,28,19,3
c958,1,28,33,3
c959,11,28,25,3
c976,6,28,30,3
c983,39,28,23,3
c10,34,28,15,5
c13,2,28,2,5
c29,19,28,8,5
c37,22,28,40,5
c51,18,28,10,5
c53,23,28,35,5
s2,56,54,65
c54,20,28,21,5
c62,38,28,33,5
c63,36,28,5,5
c65,12,28,20,5
c68,32,28,39,5
c71,5,28,16,5
c77,4,28,7,5
c93,26,28,12,5
c104,5,28,18,5
c128,3,28,16,5
c143,35,28,38,5
c147,7,28,16,5
c149,40,28,21,5
c153,6,28,27,5
c160,27,28,2,5
c177,35,28,8,5
c183,28,28,15,5
c196,1,28,5,5
c199,23,28,7,5
c200,5,28,37,5
c208,5,28,30,5
c212,37,28,28,5
c216,9,28,19,5
c217,36,28,16,5
c239,12,28,18,5
c241,30,28,1,5
c249,40,28,5,5
c257,34,28,4,5
c262,16,28,1,5
c266,20,28,33,5
c273,24,28,39,5
c274,15,28,6,5
c277,4,28,7,5
c279,5,28,29,5
c282,31,28,3,5
c286,34,28,13,5
c293,18,28,37,5
c294,31,28,20,5
c314,17,28,16,5
c320,9,28,34,5
c326,31,28,18,5
c331,38,28,12,5
c332,39,28,27,5
c342,24,28,21,5
c344,19,28,9,5
c355,26,28,15,5
c362,39,28,19,5
c363,32,28,15,5
c368,20,28,8,5
c399,14,28,17,5
c400,28,28,39,5
c401,22,28,4,5
c403,20,28,9,5
c406,10,28,3,5
c412,35,28,11,5
c418,17,28,11,5
c419,10,28,2,5
c426,10,28,24,5
c428,2,28,17,5
c435,27,28,23,5
c450,25,28,7,5
c460,30,28,13,5
c461,7,28,17,5
c468,28,28,38,5
c470,18,28,9,5
c496,4,28,22,5
c498,9,28,36,5
c511,30,28,4,5
c512,11,28,32,5
c531,20,28,37,5
c538,7,28,9,5
c543,30,28,10,5
c562,14,28,17,5
c565,9,28,18,5
c591,24,28,36,5
c595,13,28,35,5
c602,35,28,22,5
c612,6,28,13,5
c613,25,28,11,5
c626,17,28,15,5
c631,19,28,4,5
c634,13,28,8,5
c642,40,28,19,5
c647,10,28,11,5
c654,33,28,37,5
c655,26,28,33,5
c656,12,28,12,5
c658,32,28,40,5
